subject,number,title,credits,description,prerequisites,corequisites,contact_hours,pathways
AAD,4234,Capstone Collaborations: Cross-Disciplinary Teams,3,"Collaborative cross-disciplinary research teams support discipline-specific capstones. Analyzes the interactive relationships between place, space, identity, and community in the United States and beyond. Engages in iterative research processes through reflective teamwork addressing complex problems in senior capstone projects. Synthesizes multiple, complex sources and creates coherent arguments including ethical analyses.",ENGE 2094 and PHIL 3334,,"(3 Lec, 3 Crd)","1A Discourse Advanced, 10 Ethical Reasoning"
AAD,4954,Study Abroad,1-19,,,,Variable credit course,
AAD,5954,Study Abroad,1-19,,,,Variable credit course,
AAEC,1005,Economics of the Food and Fiber System,3,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader.  Economic principles that underlie exchange in business, government and household transactions.  Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society.  1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation.  Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 11 Intercultural&Global Aware."
AAEC,1006,Economics of the Food and Fiber System,3,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader.  Economic principles that underlie exchange in business, government and household transactions.  Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society.  1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation.  Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 11 Intercultural&Global Aware."
AAEC,2104,Personal Financial Planning,3,"Survey of fundamental personal financial planning needs and decisions of young professionals. Introduction to the personal financial planning needs that special household circumstances or non-traditional household situations may precipitate. Application of cash, credit, and debt management principles to household scenarios. Completion of federal income tax forms for individuals.
Managing the household’s risk exposure. Introduction to investment decisions, particularly related to retirement accounts. Overview of basic estate planning tools and principles. Discussion of the ethical issues related to financial products and decisions.",,,"(3 Lec, 3 Crd)","5A Quant & Comp Thnk Adv., 10 Ethical Reasoning"
AAEC,2434,Foundations of Agribusiness,3,Introduction to the primary management tools as they relate to farm production enterprises and agribusinesses. Principles and concepts of preparing farm and agribusiness financial statements and their analysis.  Application of budgeting and risk management.,AAEC 1005,,"(3 Lec, 3 Crd)",
AAEC,2974,Independent Study,1-19,,,,Variable credit course,
AAEC,2984,Special Study,1-19,,,,Variable credit course,
AAEC,3004,Agricultural Production and Consumption Economics,3,The economic principles of production.  Applications to decision-making and the allocation of resources for the agricultural firm.  Consumer behavior and demand for agricultural products.,( AAEC 1005 or ECON 2005 ) and ( MATH 1025 or MATH 1225 ),,"(3 Lec, 3 Crd)",
AAEC,3014,Analytical Methods in Applied Economics,3,"Quantitative methods used in applied empirical economic analysis including simple and multiple regression, estimation and application of elasticity, decision analysis, economic simulations, linear programming, and risk analysis. Analysis using spreadsheets stressed.",STAT 3005 or BIT 2405 or STAT 3615,,"(3 Lec, 3 Crd)",
AAEC,3015,Internship in Agricultural and Applied Economics,1,"Preparation for, and follow-up to, a practical experience in a selected agricultural, resource, or governmental enterprise, which takes place under the direct supervision of an owner, manager, or supervisor.  3015: offers the student a broad management horizon on understanding the value and the process of setting goals and objectives, and provides methods for evaluating ones abilities, interests, and desires for making career-path choices.  3016: provides a forum for students to share work experiences, discuss human resource issues, and apply the problem solving process to a problem or concern witnessed during the internship.",,,"(1 Lec, 1 Crd)",
AAEC,3024,Monetary and Global Issues in Applied Economics,3,"Economics of an open economy and its impact on agricultural and natural resource markets.  History of the monetary system, national accounts, balance of payments, fiscal and monetary policy, foreign exchange determinants, trade deficits, international finance, globalization and economic growth.  Linkages to agricultural policy and commodity markets stressed.",AAEC 1005 and AAEC 1006,,"(3 Lec, 3 Crd)",
AAEC,3204,International Agricultural Development and Trade,3,"Examination of the role of agriculture in less developed countries and how that role is affected by public policies. Dimensions of world food, population, and income problems; theories of economic development and the role of agriculture; traditional agricultural systems and their evolution; agricultural modernization strategies; interactions among natural resources, biofuels, food prices, and sustainable agriculture; the impacts of international trade and aid; and the effects of international development on U.S. agriculture.",AAEC 1005 or ECON 2005,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 11 Intercultural&Global Aware."
AAEC,3314,Environmental Law,3,"Principles of law involved in environmental issues, survey of environmental litigation, legislation and administrative rulings.  Law topics include natural resources, water pollution, private land use, air pollution, toxic substance, food, drug, pesticides, and biotechnology.",,,"(3 Lec, 3 Crd)",
AAEC,3324,Environment and Sustainable Development Economics,3,"Sustainable development through an exploration of hard and soft green schools of thought. Hard Green Strategies – reliance on markets, technology, property rights, human ingenuity to increase production efficiency versus Soft Green Strategies-adoption of simpler lifestyles, government subsidies, natural design of buildings (biomimicry), and urban infrastructure to locate public transportation hubs nearest to densely populated neighborhoods to decrease consumption of natural resources. Connecting the influence of place in personal and group identity. Interdisciplinary examination of environmental justice among poor and minority U.S. communities. Social equity distribution of the economic costs and benefits of natural resources management policies. Roles of property rights, economic incentives, religious values, and political power in determining local communities’ capacity to control their environmental destiny.",AAEC 1005 or AAEC 1006 or ECON 2005,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 7 Identity & Equity in U.S., 11 Intercultural&Global Aware."
AAEC,3424,Value-Based Management in Agribusiness,3,"Focus on finance concepts in the agricultural and environmental sectors. Apply the value-based management principles and financial analysis to industry-related cases. Estimate cost of capital, free cash flow and net present value. Team-based approach on a real-world valuation case.",AAEC 1005 and AAEC 1006 and ACIS 2115,,"(3 Lec, 3 Crd)",
AAEC,3434,Commodity Market and Price Analysis,3,"The fundamentals of commodity price analysis and investing with an emphasis on agricultural, energy, and metal commodities. Training program for new Commodity Investing by Students (COINS) members including fundamental and technical analysis for commodity futures and developing a trade proposal.",,,"(3 Lec, 3 Crd)",
AAEC,3454,Small Business Management and Entrepreneurship,3,"Characteristics of small business and entrepreneurs, and their economic importance. Development and operation of a small business, including concepts and principles such as franchising, business plans, capital acquisition, venture capital, financial and administrative control, marketing, human resource and operations management. Taxation, legal, insurance and ethics in small business.",AAEC 2434 or ACIS 2115 or MGT 2064,,"(3 Lec, 3 Crd)",
AAEC,3504,Marketing Agricultural Products,3,"Structure of the agricultural marketing system with emphasis on factors determining farm level prices.  Emphasis on how markets coordinate consumer desires and producer costs through marketing channels.  Impact of market structure, grades, information, product form, and advertising on farm prices.  International trade impacts on producers, consumers, agribusiness, and government.",AAEC 1005 and AAEC 1006,,"(3 Lec, 3 Crd)",
AAEC,3514,Agricultural Futures and Options,3,The role of agricultural futures and options in risk management strategies for producers and agribusiness firms and in the price discovery process.  Fundamental supply-demand and technical analysis of the markets and pricing processes.  Development and applications of effective price risk management strategies.,AAEC 1005 and AAEC 1006 and AAEC 2434,,"(3 Lec, 3 Crd)",
AAEC,3604,Agricultural Law,3,"Legal problems of farm and agribusiness management. Practical application of principles of contracts, negligence, debt instruments and commercial transactions of the farm and agribusiness organization.  Selected state and federal laws regulating the farm and agribusiness sector; basic animal laws including state and federal regulation of agricultural sector.",,,"(3 Lec, 3 Crd)",
AAEC,3900,Bridge Experience,0,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",,,(0 Crd),
AAEC,3954,Study Abroad,1-19,,,,Variable credit course,
AAEC,3974,Independent Study,1-19,,,,Variable credit course,
AAEC,3984,Special Study,1-19,,,,Variable credit course,
AAEC,4135,International Economics,3,"4135 International Trade: Factor mobility and commercial policy (tariffs, quotas, export licensing). 4136 International Finance: Liquidity, exchange rates, comparative international living standards, foreign aid.",ECON 3104,,"(3 Lec, 3 Crd)",
AAEC,4136,International Economics,3,"4135: International Trade: Factor mobility and commercial policy (tariffs, quotas, export licensing). 4136: International Finance: Liquidity, exchange rates, comparative international living standards, foreign aid.",,,"(3 Lec, 3 Crd)",
AAEC,4204,Food and Agricultural Policy,3,"Examination of the role of agriculture in developed economies and how agriculture is affected by policy decisions in the public sector.  Emphasis will be placed on the economic impacts of policies on the producers and consumers of agricultural products:  price supports, food stamps, tariffs and quotas.",AAEC 1005 and AAEC 1006,,"(3 Lec, 3 Crd)",
AAEC,4314,Environmental Economic Analysis and Management,3,"Quantitative methods and computer-aided tools used in the economic analysis of environmental/natural resource issues. Economic concepts and analytical tools will be applied to realistic, problem-solving situations.  Topics include cost effectiveness analysis, benefit-cost analysis, economic simulations, and statistical analysis.",AAEC 3324 or ECON 4014 or FREC 4014,,"(3 Lec, 3 Crd)",
AAEC,4324,Rural and Regional Development Policy,3,"Description of rural areas, their economic structure, and conditions for broad-based economic development.  Emphasis on the role of markets in the development process. Introduction to tools to evaluate policies and programs, identify distributional impacts, identify appropriateness for long-term sustainable development, and analyze tradeoffs between policy goals.  Alternatives to public financing in rural areas.",AAEC 1005 and AAEC 3004,,"(3 Lec, 3 Crd)",
AAEC,4334,Applications Rural Development,1,"Evaluation of policy alternatives and programs for the development of rural areas.  Intensive use of analytical techniques, including spreadsheet analysis of trends and changes over time, shift-share analysis of economic change, creation of indices of distribution and poverty for rural areas, creation and use of economic base multipliers, construction, use and interpretation of input-output models.",AAEC 1005 and AAEC 3004,AAEC 4324,"(1 Lec, 1 Crd)",
AAEC,4344,Sustainable Development Economics,3,Sustainable development concepts are critically explored particular emphasis on implications for domestic and international sustainable development agriculture and for economic development.  Students investigate case studies illustrating problems of sustainable development and potential policy solutions.,AAEC 3324 or AAEC 3004 or ECON 4014,,"(3 Lec, 3 Crd)",
AAEC,4354,Energy Economics,3,"Theoretical and quantitative economic analyses of individual, regional, and global demand and supply of renewable and nonrenewable energy. Markets examined include solar, wind, oil, natural gas, electricity, and nuclear. Policies reviewed include those used to regulate energy prices, tax carbon emissions, and promote technology adoption. Countries studied include the U.S., Europe, and Asia, encompassing both developed and developing nations. Pre: Junior Standing.",AAEC 1005 or AAEC 1006 or ECON 2005 or ECON 2006 or MATH 1025 or MATH 1225,,"(3 Lec, 3 Crd)",
AAEC,4404,Agricultural Management and Problem-solving,3,"Capstone course for students interested in agribusiness management.  Application of concepts, tools, and principles including management, finance, marketing, economic theory, and quantitative methods to applied agricultural decisions. Application of knowledge on selected agricultural projects that enhance team-building, written, and oral communication skills.  Senior Standing required.",AAEC 2434,,"(3 Lec, 3 Crd)",
AAEC,4414,Applied Economic Problem-Solving,3,"Application of economic training and skillsets to real-world needs identified by clientele.  Team problem-solving of financial, marketing, production, legal and regulatory, and human resources issues unique to the agriculture sector. Facilitated experiential learning environment focused on student-motivated solutions to economic risk management. This course may be repeated once.",AAEC 1005,,"(3 Lec, 3 Crd)",
AAEC,4424,Ag Financial Management,3,"Principles and concepts of preparing agricultural financial statements.  Analysis of these statements following professional farm financial guidelines.  Economic concepts applied to management of agricultural enterprises.  Leasing, purchasing, borrowing, and lending decisions in agriculture. Agricultural applications of budget, risk management and mitigation, and loan structuring.",AAEC 1005 and AAEC 2434 and ( FIN 3104 or AAEC 3424 ),,"(3 Lec, 3 Crd)",
AAEC,4434,Commodity Investing by Students,2,"Students make real world investment decisions in agricultural and energy commodities, execute trades, evaluate their performance and report to the VT Foundation. This student-run organization provides leadership opportunities as well as collaboration and networking experiences. Restricted to COINS members. May be repeated with different content up to 8 credit hours. This course is Pass/Fail.",AAEC 4504,,"(2 Lec, 2 Crd)",
AAEC,4464,Water Resources Policy  and  Economics,3,"Economic theory and methods to explain water use decisions. Efficiency, equity, and ethical considerations in U.S. water policy. Analysis of water markets, climate change, and environmental flows from diverse stakeholder perspectives.",AAEC 1005 or ECON 2005,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 7 Identity & Equity in U.S., 10 Ethical Reasoning"
AAEC,4484,Applied Economic Forecasting,3,"Forecasting economic, agricultural and environmental data using basic linear and non-linear time series models. Programming and computational implementation of time series forecasting model selection techniques and practical applications.",( AAEC 1005 or AAEC 1006 ) and ( STAT 3005 or STAT 3604 or STAT 3615 or BIT 2405 ),,"(3 Lec, 3 Crd)",
AAEC,4504,Agricultural Price and Market Analysis,3,"Estimation of agricultural supply, demand, and price relationships.  Determination of market potential for new products.  Students identify problem, collect data, estimate statistical relationship(s), interpret results, and write research report.  Use of probability distribution in marketing strategy development.",AAEC 3004 and STAT 3005 or STAT 3615 or BIT 2405,,"(3 Lec, 3 Crd)",
AAEC,4514,Advanced Agribusiness Marketing,1-4,"Applying concepts, principles, and analytical tools in developing a marketing plan for an existing or new agricultural product or service.  Students will define the market, perform competitive marketing analysis, outline market assumptions and objectives, and perform a three-year financial evaluation of the action plan.  Course can be repeated once.",AAEC 2434 and AAEC 3504,3504 or 3004.,"(1-4 Lec, 1-4 Crd)",
AAEC,4804,Elementary Econometrics,3,"Economic applications of mathematical and statistical techniques: regression, estimators, hypothesis testing, lagged variables, discrete variables, violations of assumptions, simultaneous equations.",AAEC 1005 and ( STAT 3615 or STAT 3005 or STAT 3604 or BIT 2405 ),,"(3 Lec, 3 Crd)",
AAEC,4814,Food and Health Economics,3,"Microeconomics of food, nutrition, and health.  Overview of nutrition, nutrition recommendations, and implications for economics based decisions.  Individual and household food consumption and health production models.  Farm to consumer market linkage models with nutrition and health implications Effectiveness of food and nutrition interventions and policies.  Cost-benefit and cost-effectiveness analysis of health interventions. Pre: Senior Standing required.",,,"(3 Lec, 3 Crd)",
AAEC,4964,Field Study,1-19,,,,Variable credit course,
AAEC,4974,Independent Study,1-19,,,,Variable credit course,
AAEC,4984,Special Study,1-19,,,,Variable credit course,
AAEC,4994,Undergraduate Research,1-19,,,,Variable credit course,
ACIS,1004,Accounting Foundations,3,"Fundamentals of accounting, the language of business, including what accounting information is, how it is developed, how it is used and what it means.  Financial Accounting including the application of accounting principles for real world, complex business transactions to classify these transactions, reflect their economic value, produce basic financial statements, evaluate financial position and make fundamental interpretations. Managerial Accounting including cost behaviors, budgeting and other management reporting to assist in internal decision making and performance analysis.  Attention to accountants codes of ethics applied throughout.  Emphasis placed on non-Business majors becoming informed users of accounting information.  No credit will be given for ACIS 1004 if taken with or after ACIS 2115 or ACIS 2116 .",,,"(3 Lec, 3 Crd)","5F Quant & Comp Thnk Found., 10 Ethical Reasoning"
ACIS,1104,Careers in Accounting and Information Systems,1,Overview of career options in the accounting field. Real life perspective from industry expert guest speakers. Career skills and training requirements. Job search strategies. Job search strategies. Job market analysis. Effective professional materials creation. Pass/Fail only.,,,"(1 Lec, 1 Crd)",
ACIS,1504,Introduction to Business Analytics  and  Business Intelligence,3,"Foundational data analytics using Microsoft Excel. Utilizes the data analytics framework and many Excel functions to address various business problems. Introduction to big datasets, how to navigate them, and the many complexities of using them, including relevant ethical issues. Identification and construction of various data visualizations and charts to be used in presentations.",,,"(3 Lec, 3 Crd)","5F Quant & Comp Thnk Found., 10 Ethical Reasoning"
ACIS,1984,Special Study,1-19,,,,Variable credit course,
ACIS,2024,Small Business Accounting,3,"Accounting to support starting and operating a small business. Includes setting up accounting records, creating budgets, pricing products and services, tracking revenues and expenses, planning for taxes, and accounting for borrowing, inventory, payroll, and long-term assets. Emphasis on performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Accounting presented in compliance with Generally Accepted Accounting Principles (GAAP) and accountant’s codes of ethics to support the prevention and detection of fraud.",,,"(3 Lec, 3 Crd)","5A Quant & Comp Thnk Adv., 10 Ethical Reasoning"
ACIS,2115,Principles of Accounting,3,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents.",,ACIS 1504,"(3 Lec, 3 Crd)",
ACIS,2116,Principles of Accounting,3,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents.",ACIS 2115,,"(3 Lec, 3 Crd)",
ACIS,2124,Nonprofit Accounting and Financial Management,3,"Accounting to support nonprofit companies.  Includes, setting up nonprofit accounting records, identifying internal controls, and tax considerations. Nonprofit tracking revenues and expenses, grants, borrowing, payroll, and long-term assets.  Emphasis on nonprofit performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Use of ethical framework decision-making.  Evaluation of government funding sources. No credit will be given for ACIS 2124 if taken with or after ACIS 4124 .",,,"(3 Lec, 3 Crd)","5A Quant & Comp Thnk Adv., 10 Ethical Reasoning"
ACIS,2504,Introduction to Accounting Analytics,3,"Design and creation of models used to perform accounting analytics. Cleansing, transformation, organization, analysis, and reporting of accounting data using analytics tools such as spreadsheets, programming, and accounting software applications. Display of accounting data using visualization techniques.",ACIS 1504,,"(3 Lec, 3 Crd)",
ACIS,2954,Business Study Abroad,1-19,This course provides students with an international business experience. The course examines the accounting and information systems issues that impact the multinational business. It is only offered as part of a program outside of the United States. Students will learn from the structured educational experience developed by the faculty leader. Content will vary between semesters. Pre: Instructors consent and the completion of 24 semester hours with a minimum GPA of 3.0 or departmental consent. May be repeated for a maximum of 9 credit hours.,,,Variable credit course,
ACIS,3115,Intermediate Financial Accounting,3,"Intermediate financial accounting. 3115: In-depth analysis of basic concepts of external financial reporting. Includes asset and related transaction analysis and preparation of financial statements in accordance with generally accepted accounting principles. Discusses the historical development accounting theory and practice as well as discussion and exploration of international accounting standards and ongoing and potential developments in accounting practice. 3116: In-depth analysis of liability, equity, and tax related transactions and their subsequent impacts on financial reporting. Interpret financial accounting standards including requirements to adjust financial statements due to errors and corrections. Prepare the statement of cash flows in accordance with generally accepted accounting principles. Course credit will not be awarded for both ACIS 3115 and ACIS 4194 .",ACIS 2115,ACIS 2504,"(3 Lec, 3 Crd)",
ACIS,3116,Intermediate Financial Accounting,3,"Intermediate financial accounting. 3115: In-depth analysis of basic concepts of external financial reporting. Includes asset and related transaction analysis and preparation of financial statements in accordance with generally accepted accounting principles. Discusses the historical development accounting theory and practice as well as discussion and exploration of international accounting standards and ongoing and potential developments in accounting practice. 3116: In-depth analysis of liability, equity, and tax related transactions and their subsequent impacts on financial reporting. Interpret financial accounting standards including requirements to adjust financial statements due to errors and corrections. Prepare the statement of cash flows in accordance with generally accepted accounting principles. Course credit will not be awarded for both ACIS 3115 and ACIS 4194 .",ACIS 3115,,"(3 Lec, 3 Crd)",
ACIS,3314,Tax Impact on Decisions,3,"Introduction to federal taxation for individuals and business entities with an emphasis on effective tax planning strategies. IRS tax compliance and discussion of other tax authorities. Individual tax overview includes filing status, gross income, exclusions, and deductions. Business tax overview includes business entity types, filing requirements, business income, deductions, accounting methods, property acquisitions, cost recovery, and property dispositions. Properly classify corporate operations to compute corporate taxable income.",ACIS 3115,,"(3 Lec, 3 Crd)",
ACIS,3504,Accounting Systems and Controls,3,Examines system design concepts and methods including an understanding of basic control structures.  Covers specific accounting cycles and computerized transaction processing systems.  Analyzes controls for manual and computerized systems including database systems.,ACIS 2115,,"(3 Lec, 3 Crd)",
ACIS,3954,Study Abroad,1-19,,,,Variable credit course,
ACIS,4024,Information Systems Audit and Control,3,"An introduction to the fundamentals of information systems auditing and controls. Emphasis on information systems controls and general application controls. Employment of computer assisted audit tools, techniques, and reporting languages. Implementation of different types of audit approaches including on line and continuous auditing as well as fraud and forensic auditing. Exposure to risk assessment, system-based guidelines, and professional standards in the field of information systems auditing. Examination of the implementation and deployment of information systems.",ACIS 3504 and ACIS 4414,,"(3 Lec, 3 Crd)",
ACIS,4114,Advanced Financial Accounting,3,"Detailed analysis of external financial reporting. Study of debt and equity investments, derivatives, and foreign currency. Proper application of Securities and Exchange Commission reporting regulations.",ACIS 3116,,"(3 Lec, 3 Crd)",
ACIS,4124,Governmental and Nonprofit Accounting,3,"Detailed analysis of U.S. state and local governmental, nonprofit, and federal accounting. Focus on entity characteristics, regulatory environment, fund accounting, financial transactions, and financial statements.",ACIS 3115,,"(3 Lec, 3 Crd)",
ACIS,4194,Analysis of Financial Statements,3,"Analysis of financial statements including how to interpret and assess a company’s results of operations, financial condition, and cash flows. Construction and use of financial ratios for use in various contexts. Development of reports comparing financial performance across companies and over time to aid in evaluating investments in companies’ debt or equity. Course credit will not be awarded for both ACIS 3115 and ACIS 4194 .",FIN 3134,,"(3 Lec, 3 Crd)",
ACIS,4214,Cost Planning and Control,3,"The purpose of this course is to help the student develop an understanding of the role of accounting in the management process, an understanding of cost accounting systems, an understanding of cost behavior, an understanding of alternative accounting systems, and the usefulness of costs involved in non-routine decision-making.",ACIS 2116 and ACIS 2504 and BIT 2406,,"(3 Lec, 3 Crd)",
ACIS,4344,Tax for Financial Planners,3,"Overviews income tax concepts relevant to financial planning for individuals who are investors, employees, and business owners.  Topics include income tax fundamentals for individuals, taxation of the sale of property, taxation of business entities, taxation of trusts, and overview of the federal transfer tax on estates and gifts.  Duplicates some material in ACIS 4314.  Course credit will not be awarded for both ACIS 4314 and ACIS 4344 .",FIN 3104,,"(3 Lec, 3 Crd)",
ACIS,4364,Taxation of Business Operations,3,"Introduction to the tax issues for various operating models. Analysis from a tax perspective of formation, operation, distribution of earnings, business unit acquisitions and divestitures, and liquidation. Entity types discussed include partnerships, S Corporations, regular (C) Corporations and not for profit entities. Emphasis on how to report tax results to the applicable government(s) as well as the GAAP accounting of the tax results. Initial exposure to multistate taxation, the U.S. taxation of non-US activities, and estate and gift taxation.",ACIS 3314,,"(3 Lec, 3 Crd)",
ACIS,4414,Financial Statement Auditing,3,"Study of external financial statement auditing, professional code of conduct, audit evidence considerations, internal control, fraud, and transaction cycles, and audit reporting.",ACIS 3115 and ACIS 3504,,"(3 Lec, 3 Crd)",
ACIS,4444,Forensic Accounting,3,"This course provides students experience in forensic accounting, commonly used computer forensic software, forensic techniques, litigation support, fraud risk management, fraud investigation, and the related audit tools.",ACIS 3115,,"(3 Lec, 3 Crd)",
ACIS,4454,Artificial Intelligence in Accounting and Auditing,3,"An introduction to Artificial Intelligence to address real-world problems in accounting and auditing. Receive hands-on experience applying AI tools and processes used in auditing and assurance through class discussions, case analyses, and projects. Topics covered include the application of AI tools for analysis of financial data and internal controls. Obtain a base level understanding of how to use AI in audit and business settings, how to evaluate the impact of AI use on audit quality, and how client use of AI impacts audit risk. Overview of client confidentiality, ethics, opportunities, limitations, and challenges associated with the use of AI in auditing settings.",ACIS 4414 and ACIS 3115 and ACIS 3504,,"(3 Lec, 3 Crd)",
ACIS,4514,Database Management Systems,3,"Introduction to database management systems and their use in business.  Topics covered include data modeling, normalization, SQL, transaction management and concurrency control, security issues, physical data organization, query optimization, hierarchical queries, distributed database management systems, object-oriented databases, client/server databases, multidimensional databases, data mining, data warehousing, and database administration.",,,"(3 Lec, 3 Crd)",
ACIS,4544,Applied Accounting Analytics,3,"Application of analytics software and methodologies to address real-world based accounting activities. Examination of accounting scenarios to determine an appropriate analytic approach. Emphasis on commonly used accounting analytics software to apply the extract, transform, and load process on data. Implementation of analytics software to analyze accounting data, and evaluation and communication of the results through data visualizations.",ACIS 2504 and ACIS 3115,,"(3 Lec, 3 Crd)","6D Critique & Prac in Design, 10 Ethical Reasoning"
ACIS,4654,Accounting Analytics,3,"Design and development of accounting systems using relational database management tools. Extraction and analysis of accounting data using queries, analytics, and visualization techniques. Application of accounting data analytics concepts using commercially available tools such as audit management software and current visualization tools. Proper preparation of data and use of analytics algorithms and visualization techniques to inform decision making.",ACIS 2504 and ACIS 3504 and ACIS 3115,,"(3 Lec, 3 Crd)",
ACIS,4664,Sustainability Accounting,3,"Introduction to procedures for extracting and quantifying quality of corporate sustainability information and assessment of compliance with current accounting standards. Analysis of corporate sustainability data and impact on Financial Statements for corporate environmental and social justice decision-making. Introduction and differentiation of U.S. and international regulatory bodies promulgating sustainability standards. Discussion of disclosure components, frameworks, and standards concerning accounting and business-related sustainability information. Exploration of incremental decision usefulness of sustainability information for various stakeholders beyond traditional accounting financial statements. Presentation of attestation and assurance methodologies related to disclosed corporate sustainability accounting information.",ACIS 3115 and ACIS 3504,,"(3 Lec, 3 Crd)",
ACIS,4684,Information Systems Security and Assurance,3,"An examination of the concepts, technologies, and applications of security and assurance in information systems.  Topics include the security threats against information systems; tools used by intruders; computing platforms and security; encryption; securing the transaction and the server; audit tools to detect intrusions; responses to attacks; legal, ethical and international issues; and the future of information systems security and assurance.",,,"(3 Lec, 3 Crd)",
ACIS,4954,Study Abroad,1-19,,,,Variable credit course,
ACIS,4974,Independent Study,1-19,,,,Variable credit course,
ACIS,4984,Special Study,1-19,,,,Variable credit course,
ACIS,4994,Undergraduate Research,1-19,,,,Variable credit course,
ACIS,5014,Information Systems Audit and Control,3,"This course explores the theories and practices of audit and control of computer-based information systems.  Audit and control of information systems is examined from the viewpoint of management, systems professionals, and auditors.  The rationale for controls, control theories, and audit practices are emphasized. Pre: Graduate standing.",,,"(3 Lec, 3 Crd)",
